Entry	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD0155CE6	Gene ontology IDs	Gene names
Q12366	854047	GO:0000784; GO:0007129; GO:0007131; GO:0010520; GO:0035974; GO:0042162; GO:0045141; GO:0070197; GO:2000711	NDJ1 TAM1 YOL104C
Q00416	851150	GO:0005524; GO:0005634; GO:0005657; GO:0005737; GO:0006283; GO:0006353; GO:0006364; GO:0006369; GO:0006378; GO:0008033; GO:0008094; GO:0008186; GO:0016180; GO:0019904; GO:0031124; GO:0031126; GO:0032575; GO:0033682; GO:0035649; GO:0035861; GO:0043141; GO:0045005; GO:0045454; GO:1990248	SEN1 YLR430W L9576.1
P38989	850589	GO:0000070; GO:0000217; GO:0000799; GO:0003680; GO:0003682; GO:0003690; GO:0005524; GO:0005737; GO:0007076; GO:0007130; GO:0010032; GO:0051301; GO:0051307; GO:0070058; GO:0070550; GO:1903342	SMC2 YFR031C
Q10452	2542652	GO:0004672; GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005829; GO:0006468; GO:0007049; GO:0023052; GO:0033047; GO:0051301; GO:0051984; GO:1905342	gsk3 skp1 SPAC1687.15
O94353	2541009	GO:0005635; GO:0005783; GO:0005789; GO:0006998; GO:0016021; GO:0031965; GO:0042175; GO:0044255; GO:0051028	apq12 SPBC428.04
P32909	852470	GO:0005789; GO:0006888; GO:0019898	SMY2 YBR172C YBR1233
P42582	18091	GO:0000122; GO:0000978; GO:0001077; GO:0001228; GO:0001570; GO:0001947; GO:0003007; GO:0003148; GO:0003151; GO:0003161; GO:0003162; GO:0003166; GO:0003168; GO:0003208; GO:0003211; GO:0003221; GO:0003222; GO:0003278; GO:0003285; GO:0003342; GO:0003350; GO:0003677; GO:0003682; GO:0003700; GO:0003705; GO:0005634; GO:0005667; GO:0005737; GO:0006357; GO:0007492; GO:0007507; GO:0007512; GO:0008134; GO:0008284; GO:0010628; GO:0010667; GO:0010735; GO:0010736; GO:0010765; GO:0010832; GO:0030097; GO:0030154; GO:0030509; GO:0030878; GO:0032991; GO:0032993; GO:0035050; GO:0042803; GO:0042826; GO:0043066; GO:0043565; GO:0043586; GO:0044212; GO:0045214; GO:0045666; GO:0045823; GO:0045893; GO:0045944; GO:0046982; GO:0048536; GO:0048738; GO:0051891; GO:0055005; GO:0055007; GO:0055008; GO:0055014; GO:0055015; GO:0055117; GO:0060037; GO:0060038; GO:0060043; GO:0060047; GO:0060048; GO:0060070; GO:0060261; GO:0060347; GO:0060412; GO:0060413; GO:0060928; GO:0060929; GO:0060971; GO:0072358; GO:0090090; GO:0090575; GO:1903779	Nkx2-5 Csx Nkx-2.5 Nkx2e
Q3UQU2	18091	GO:0000122; GO:0001077; GO:0001570; GO:0001947; GO:0003148; GO:0003166; GO:0003168; GO:0003211; GO:0003221; GO:0003222; GO:0003278; GO:0003285; GO:0003342; GO:0003350; GO:0003682; GO:0003705; GO:0005737; GO:0007512; GO:0008134; GO:0008284; GO:0010667; GO:0010735; GO:0010736; GO:0010765; GO:0010832; GO:0030097; GO:0030509; GO:0030878; GO:0032993; GO:0042803; GO:0045214; GO:0045666; GO:0045823; GO:0046982; GO:0048536; GO:0051891; GO:0055005; GO:0055117; GO:0060037; GO:0060038; GO:0060043; GO:0060048; GO:0060070; GO:0060261; GO:0060347; GO:0060412; GO:0060413; GO:0060928; GO:0060929; GO:0060971; GO:0090090; GO:0090575; GO:1903779	Nkx2-5 mCG_1575
Q9UTH0	2542378	GO:0005635; GO:0005643; GO:0006606; GO:0016973; GO:0017056; GO:0031080; GO:0031081; GO:0031965; GO:0034399; GO:0090234	nup132 nup133b SPAC1805.04
P53901	855570	GO:0000142; GO:0000281; GO:0030234; GO:0032154; GO:0044697; GO:0051276; GO:1903474; GO:1990344	INN1 YNL152W N1765
P48813	852121	GO:0005886; GO:0006865; GO:0015171; GO:0015193; GO:0016021; GO:0031966; GO:0055085	GNP1 YDR508C D9719.14
Q01454	856254	GO:0000228; GO:0000278; GO:0000727; GO:0001302; GO:0003677; GO:0003682; GO:0005634; GO:0006261; GO:0006270; GO:0006281; GO:0006974; GO:0007064; GO:0031298; GO:0034085; GO:0042802; GO:0043596	CTF4 CHL15 POB1 YPR135W P9659.7
P32643	856922	GO:0005829; GO:0046547	TMT1 TAM1 YER175C SYGP-ORF63
P43608	850595	GO:0016021	YFR035C
O94661	2541149	GO:0000920; GO:0005096; GO:0005634; GO:0005783; GO:0005789; GO:0005829; GO:0006888; GO:0016021; GO:0016192; GO:0017137; GO:0035023	gyp10 SPBC651.03c
