Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
P38152	852594	GO:0005371; GO:0005743; GO:0006843; GO:0016021; GO:0055085
P26448	855077	GO:0000922; GO:0005096; GO:0005816; GO:0006886; GO:0017137; GO:0031030; GO:0031578; GO:0044732; GO:0090630; GO:1902543; GO:1990334
Q12015	854398	GO:0000328; GO:0005783; GO:0005789; GO:0006897; GO:0015031; GO:0016021; GO:0044695
A0A024QZJ8	983	GO:0004672; GO:0005524; GO:0005634; GO:0005829; GO:0051301
B7Z3D6	983	GO:0004672; GO:0005524; GO:0051301
I6L9I5	983	GO:0004674; GO:0005524
P06493	983	GO:0000086; GO:0000187; GO:0000226; GO:0000307; GO:0000784; GO:0001618; GO:0003682; GO:0004672; GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0005789; GO:0005813; GO:0005829; GO:0005876; GO:0006260; GO:0006281; GO:0006468; GO:0006915; GO:0006977; GO:0007077; GO:0007095; GO:0007098; GO:0007344; GO:0007569; GO:0008283; GO:0008353; GO:0010389; GO:0010628; GO:0010971; GO:0014038; GO:0014070; GO:0014075; GO:0014823; GO:0016020; GO:0016477; GO:0016579; GO:0018105; GO:0018107; GO:0030261; GO:0030332; GO:0030496; GO:0030544; GO:0030855; GO:0031100; GO:0031145; GO:0033160; GO:0034501; GO:0035173; GO:0043066; GO:0044772; GO:0045471; GO:0045740; GO:0045995; GO:0046686; GO:0046688; GO:0048678; GO:0051301; GO:0055015; GO:0060045; GO:0065003; GO:0070062; GO:0070301; GO:0072686; GO:0090166; GO:0097125; GO:0097472; GO:0097711; GO:1900182; GO:1905448
A0A087WUF6	2247	GO:0005104; GO:0005576; GO:0008083; GO:0008543; GO:0014843
P09038	2247	GO:0000165; GO:0000187; GO:0001658; GO:0001938; GO:0002042; GO:0004713; GO:0005088; GO:0005104; GO:0005125; GO:0005178; GO:0005576; GO:0005615; GO:0005634; GO:0006661; GO:0006935; GO:0007165; GO:0007265; GO:0007399; GO:0008083; GO:0008201; GO:0008284; GO:0008543; GO:0009887; GO:0010764; GO:0010863; GO:0014843; GO:0016303; GO:0019221; GO:0030198; GO:0030214; GO:0030374; GO:0032958; GO:0035019; GO:0038001; GO:0042056; GO:0042060; GO:0042660; GO:0043406; GO:0043536; GO:0043537; GO:0043552; GO:0045765; GO:0045766; GO:0045893; GO:0045944; GO:0046934; GO:0048598; GO:0051209; GO:0051781; GO:0051897; GO:0060045; GO:0060548; GO:0060591; GO:0061045; GO:0070374; GO:0072089; GO:0090050; GO:0090722; GO:1903672; GO:1904707; GO:1905564; GO:2000544; GO:2000546; GO:2000573; GO:2001028
P40494	854713	GO:0000147; GO:0004674; GO:0005524; GO:0005634; GO:0006468; GO:0007015; GO:0030100; GO:0030479
P38784	856457	GO:0007035; GO:0042406; GO:0051082; GO:0070072; GO:1990871
Q12386	854309	GO:0003729; GO:0005524; GO:0005634; GO:0005737; GO:0005856; GO:0006302; GO:0006312; GO:0006338; GO:0006974; GO:0031011; GO:0032508
Q07457	851485	GO:0000722; GO:0000724; GO:0000781; GO:0003688; GO:0004842; GO:0005634; GO:0006348; GO:0006366; GO:0010390; GO:0016574; GO:0030174; GO:0031571; GO:0031573; GO:0042138; GO:0042802; GO:0046872; GO:0070534
Q06683	851932	GO:0003677; GO:0004386; GO:0005524; GO:0005759; GO:0032042; GO:0033676
Q6GX22	11043	GO:0005622; GO:0008270
Q9UJV3	11043	GO:0005737; GO:0005874; GO:0008017; GO:0008270; GO:0010508; GO:0016567; GO:0016740; GO:0032897; GO:0035372; GO:0042802; GO:0042803; GO:0043123; GO:0045087; GO:0046597; GO:0046982; GO:0051091; GO:0051092; GO:0051219; GO:0070062; GO:1902187
Q02199	852703	GO:0000055; GO:0005643; GO:0006409; GO:0006606; GO:0006607; GO:0006999; GO:0016973; GO:0017056; GO:0031965; GO:0036228; GO:0042802; GO:0044613
P17898	855593	GO:0004142; GO:0004307; GO:0005741; GO:0005789; GO:0005794; GO:0006646; GO:0006657; GO:0016021; GO:0016780; GO:0046872
P24867	855427	GO:0000079; GO:0000131; GO:0000307; GO:0005634; GO:0005737; GO:0007049; GO:0016239; GO:0016538; GO:0019901; GO:0031106; GO:0032878; GO:0051301
P38261	852398	GO:0000131; GO:0000145; GO:0000245; GO:0001927; GO:0005934; GO:0005935; GO:0006887; GO:0006893; GO:0015031; GO:0030133; GO:0051601; GO:0090522
P40361	853375	
Q92331	854235	GO:0000139; GO:0005768; GO:0005829; GO:0010008; GO:0015031; GO:0030904; GO:0030905; GO:0032266; GO:0035091; GO:0042147; GO:0045053
Q96D03	115265	GO:0005737; GO:0009968
Q12342	851409	GO:0005737; GO:0005935; GO:0006897
P47049	853399	GO:0005634; GO:0006511; GO:0030435
P36005	853696	GO:0004693; GO:0005524; GO:0005634; GO:0006468
A8K8G6	54970	
J3KR69	54970	
Q53G14	54970	
Q9H892	54970	GO:0005813
P01097	851347	GO:0004857; GO:0005739; GO:0032780; GO:0042030
P40475	854686	GO:0005886; GO:0005887; GO:0006855; GO:0015238; GO:0030476
P32660	856913	GO:0000287; GO:0000749; GO:0004012; GO:0005524; GO:0005794; GO:0005886; GO:0006886; GO:0006897; GO:0007163; GO:0010008; GO:0015662; GO:0016021; GO:0045332; GO:0070867; GO:1990531
Q04226	854993	GO:0003682; GO:0003713; GO:0005669; GO:0006366; GO:0008134; GO:0046982; GO:0051123
P39960	856899	GO:0000131; GO:0005085; GO:0005096; GO:0005737; GO:0005886; GO:0005934; GO:0005938; GO:0007264; GO:0030010; GO:0030036; GO:0035024; GO:0043087; GO:0043332
P21827	852782	GO:0000054; GO:0000790; GO:0005087; GO:0005634; GO:0006407; GO:0007049; GO:0016973; GO:0019236; GO:0051301
P53165	852814	GO:0000124; GO:0005198; GO:0005634; GO:0005829; GO:0006325; GO:0006406; GO:0008047; GO:0016573; GO:0016578; GO:0034622; GO:0045899; GO:0046695; GO:0071819
P23292	855568	GO:0000902; GO:0004674; GO:0005524; GO:0005886; GO:0005935; GO:0005937; GO:0006468; GO:0006897; GO:0009749; GO:0010255; GO:0018105; GO:0018107
P40092	856893	GO:0005199; GO:0005576; GO:0009277; GO:0010447; GO:0031225; GO:0031505
P48353	855196	GO:0001671; GO:0005789; GO:0030433
Q92748	7069	GO:0005654; GO:0005829; GO:0006629; GO:0006853; GO:0009617; GO:0010866; GO:0042802; GO:0042803; GO:0046890
Q04018	855285	GO:0016021
Q02804	856056	GO:0003924; GO:0005525; GO:0005794; GO:0005829; GO:0006886; GO:0033365; GO:0034067; GO:0034976; GO:0042175; GO:0043001
P39110	855169	GO:0005525; GO:0005622; GO:0006457; GO:0007021
Q8WY44	9444	
Q96PU8	9444	GO:0003723; GO:0005634; GO:0005737; GO:0006397; GO:0006417; GO:0007275; GO:0008380; GO:0017124; GO:0030154; GO:0051028
Q04162	851995	GO:0005351; GO:0005355; GO:0005887; GO:0008645; GO:0016020; GO:0022857; GO:0055085
P48239	853058	GO:0004364; GO:0005737; GO:0005777; GO:0006749; GO:0045174
